user_id,item_id,listening_time_in_scale_0-5,title,duration,loudness,tempo,key,event_type
196,242,4.06,Atmosphere Station,191.81669,-38.525,90.084,9,"""Listen it frequently""""View Song Information""""Download"""
63,242,3.24,Atmosphere Station,191.81669,-38.525,90.084,9,"""Listen it frequently""""Like""""View Song Information"""
154,242,4.34,Atmosphere Station,191.81669,-38.525,90.084,9,"""Listen it frequently""""Like""""View Song Information""""Add it to your music"""
34,242,3.57,Atmosphere Station,191.81669,-38.525,90.084,9,"""Have listened  it completely""""View Song Information""""Download"""
35,242,3.09,Atmosphere Station,191.81669,-38.525,90.084,9,"""Have listened  it completely""""View Song Information""""Add it to your music"""
199,242,3.46,Atmosphere Station,191.81669,-38.525,90.084,9,"""Have listened  it completely"""
113,242,3.07,Atmosphere Station,191.81669,-38.525,90.084,9,"""Have listened  it completely""""Like"""
1,242,3.27,Atmosphere Station,191.81669,-38.525,90.084,9,"""Have listened  it completely""""Add it to your music""""Download"""
173,242,3.2,Atmosphere Station,191.81669,-38.525,90.084,9,"""Have listened  it completely""""Like""""View Song Information""""Add it to your music""""Download"""
14,242,1.19,Atmosphere Station,191.81669,-38.525,90.084,9,"""Skip it""""Not recommend it anymore"""
21,242,3.39,Atmosphere Station,191.81669,-38.525,90.084,9,"""Have listened  it completely""""Like""""View Song Information""""Add it to your music"""
111,242,3.52,Atmosphere Station,191.81669,-38.525,90.084,9,"""Have listened  it completely""""Like""""View Song Information""""Add it to your music""""Download"""
145,242,3.03,Atmosphere Station,191.81669,-38.525,90.084,9,"""Have listened  it completely""""Add it to your music"""
30,242,2.89,Atmosphere Station,191.81669,-38.525,90.084,9,"""Listen it frequently""""View Song Information""""Add it to your music""""Download"""
144,242,3.88,Atmosphere Station,191.81669,-38.525,90.084,9,"""Have listened  it completely""""View Song Information"""
2,242,3.23,Atmosphere Station,191.81669,-38.525,90.084,9,"""Have listened  it completely""""Add it to your music""""Download"""
12,242,0.79,Atmosphere Station,191.81669,-38.525,90.084,9,"""Skip it frequently""""Not recommend it anymore"""
131,242,3.74,Atmosphere Station,191.81669,-38.525,90.084,9,"""Have listened  it completely""""View Song Information""""Download"""
181,242,2.69,Atmosphere Station,191.81669,-38.525,90.084,9,"""Listen it frequently""""Add it to your music""""Download"""
123,242,2.25,Atmosphere Station,191.81669,-38.525,90.084,9,"""Listen it frequently""""Like""""Add it to your music""""Download"""
86,242,2.87,Atmosphere Station,191.81669,-38.525,90.084,9,"""Listen it frequently""""Like""""Add it to your music"""
9,242,3.23,Atmosphere Station,191.81669,-38.525,90.084,9,"""Have listened  it completely""""Add it to your music"""
129,242,1.18,Atmosphere Station,191.81669,-38.525,90.084,9,"""Skip it"""
40,242,2.62,Atmosphere Station,191.81669,-38.525,90.084,9,"""Listen it frequently"""
6,242,0.46,Atmosphere Station,191.81669,-38.525,90.084,9,"""Skip it frequently"""
139,242,3.24,Atmosphere Station,191.81669,-38.525,90.084,9,"""Listen it frequently""""Like""""View Song Information""""Download"""
