user_id,item_id,listening_time_in_scale_0-5,title,duration,loudness,tempo,key,event_type,event_strength
196,242,4.06,Atmosphere Station,191.81669,-38.525,90.084,9,"['Listen it frequently', 'View Song Information', 'Download']",7.0
63,242,3.24,Atmosphere Station,191.81669,-38.525,90.084,9,"['Listen it frequently', 'Like', 'View Song Information']",5.0
154,242,4.34,Atmosphere Station,191.81669,-38.525,90.084,9,"['Listen it frequently', 'Like', 'View Song Information', 'Add it to your music']",7.0
34,242,3.57,Atmosphere Station,191.81669,-38.525,90.084,9,"['Have listened  it completely', 'View Song Information', 'Download']",5.0
35,242,3.09,Atmosphere Station,191.81669,-38.525,90.084,9,"['Have listened  it completely', 'View Song Information', 'Add it to your music']",4.0
199,242,3.46,Atmosphere Station,191.81669,-38.525,90.084,9,['Have listened  it completely'],1.0
113,242,3.07,Atmosphere Station,191.81669,-38.525,90.084,9,"['Have listened  it completely', 'Like']",2.0
1,242,3.27,Atmosphere Station,191.81669,-38.525,90.084,9,"['Have listened  it completely', 'Add it to your music', 'Download']",6.0
173,242,3.2,Atmosphere Station,191.81669,-38.525,90.084,9,"['Have listened  it completely', 'Like', 'View Song Information', 'Add it to your music', 'Download']",8.0
14,242,1.19,Atmosphere Station,191.81669,-38.525,90.084,9,"['Skip it', 'Not recommend it anymore']",-3.0
21,242,3.39,Atmosphere Station,191.81669,-38.525,90.084,9,"['Have listened  it completely', 'Like', 'View Song Information', 'Add it to your music']",5.0
111,242,3.52,Atmosphere Station,191.81669,-38.525,90.084,9,"['Have listened  it completely', 'Like', 'View Song Information', 'Add it to your music', 'Download']",8.0
145,242,3.03,Atmosphere Station,191.81669,-38.525,90.084,9,"['Have listened  it completely', 'Add it to your music']",3.0
30,242,2.89,Atmosphere Station,191.81669,-38.525,90.084,9,"['Listen it frequently', 'View Song Information', 'Add it to your music', 'Download']",9.0
144,242,3.88,Atmosphere Station,191.81669,-38.525,90.084,9,"['Have listened  it completely', 'View Song Information']",2.0
2,242,3.23,Atmosphere Station,191.81669,-38.525,90.084,9,"['Have listened  it completely', 'Add it to your music', 'Download']",6.0
